transaction_id,reference_id,amount,date,counterparty,tds_section,tds_amount,tds_rate
TXN_1023,PAY-IN-20260801-0023,98887.37,2026-08-11,Amazon Seller Services IN,194J,9888.74,0.1
TXN_1024,PAY-IN-20260801-0024,181056.2,2026-08-15,Flipkart Internet Pvt Ltd,194C,3621.12,0.02
TXN_1025,PAY-IN-20260801-0025,67135.49,2026-08-09,Meesho Technologies,194J,6713.55,0.1
TXN_1026,PAY-IN-20260801-0026,404531.18,2026-08-13,PhonePe Merchant Services,194H,20226.56,0.05
TXN_1027,PAY-IN-20260801-0027,448809.97,2026-08-05,Zepto Express Logistics,194J,44881.0,0.1
TXN_1028,PAY-IN-20260801-0028,45454.69,2026-08-02,Tata CLiQ Digital,194-O,454.55,0.01
TXN_1029,PAY-IN-20260801-0029,73014.39,2026-08-06,BigBasket Supermarket Groceries,194J,7301.44,0.1
TXN_1030,PAY-IN-20260801-0030,270402.02,2026-08-13,Paytm Payment Gateway,194J,27040.2,0.1
TXN_1031,PAY-IN-20260801-0031,240455.88,2026-08-01,Myntra Designs Pvt Ltd,194-O,2404.56,0.01
TXN_1032,PAY-IN-20260801-0032,308361.11,2026-08-09,BigBasket Supermarket Groceries,194C,6167.22,0.02
TXN_1033,PAY-IN-20260801-0033,54640.72,2026-08-14,Flipkart Internet Pvt Ltd,194J,5464.07,0.1
TXN_1034,PAY-IN-20260801-0034,6444.17,2026-08-09,Zepto Express Logistics,194H,322.21,0.05
TXN_1035,PAY-IN-20260801-0035,230918.35,2026-08-04,Tata CLiQ Digital,194C,4618.37,0.02
TXN_1036,PAY-IN-20260801-0036,379542.86,2026-08-07,Flipkart Internet Pvt Ltd,194C,7590.86,0.02
TXN_1037,PAY-IN-20260801-0037,344317.31,2026-08-01,Nykaa Retail Logistics,194C,6886.35,0.02
TXN_1038,PAY-IN-20260801-0038,222429.54,2026-08-04,Dunzo Digital Services,194C,4448.59,0.02
TXN_1039,PAY-IN-20260801-0039,220893.25,2026-08-14,Swiggy Delivery Ops,194H,11044.66,0.05
TXN_1040,PAY-IN-20260801-0040,220722.3,2026-08-05,Blinkit Commerce Pvt Ltd,194-O,2207.22,0.01
TXN_1041,PAY-IN-20260801-0041,244716.28,2026-08-10,Myntra Designs Pvt Ltd,194J,24471.63,0.1
TXN_1042,PAY-IN-20260801-0042,237243.68,2026-08-06,Tata CLiQ Digital,194J,23724.37,0.1
TXN_1043,PAY-IN-20260801-0043,241447.1,2026-08-12,Razorpay Software Pvt Ltd,194J,24144.71,0.1
TXN_1044,PAY-IN-20260801-0044,248835.85,2026-08-13,Dunzo Digital Services,194J,24883.59,0.1
TXN_1045,PAY-IN-20260801-0045,39041.01,2026-08-06,Swiggy Delivery Ops,194H,1952.05,0.05
TXN_1046,PAY-IN-20260801-0046,182705.43,2026-08-01,Zomato Merchant Services,194-O,1827.05,0.01
TXN_1047,PAY-IN-20260801-0047,34209.09,2026-08-02,Tata CLiQ Digital,194C,684.18,0.02
TXN_1048,PAY-IN-20260801-0048,161534.49,2026-08-09,Myntra Designs Pvt Ltd,194J,16153.45,0.1
TXN_1049,PAY-IN-20260801-0049,168681.67,2026-08-16,Amazon Seller Services IN,194J,16868.17,0.1
TXN_1050,PAY-IN-20260801-0050,69266.83,2026-08-04,Myntra Designs Pvt Ltd,194J,6926.68,0.1
TXN_1051,PAY-IN-20260801-0051,135719.91,2026-08-15,Tata CLiQ Digital,194-O,1357.2,0.01
TXN_1052,PAY-IN-20260801-0052,201234.81,2026-08-04,Swiggy Delivery Ops,194J,20123.48,0.1
TXN_1053_M,PAY-IN-20260801-0053,100895.39,2026-08-08,Amazon Seller Services IN,194-O,1008.95,0.01
TXN_1055_M,PAY-IN-20260801-0054,78531.34,2026-08-14,Flipkart Internet Pvt Ltd,194-O,785.31,0.01
TXN_1057_M,PAY-IN-20260801-0055,91781.77,2026-08-03,Blinkit Commerce Pvt Ltd,194-O,917.82,0.01
TXN_1059,PAY-IN-20260801-0056,149283.56,2026-08-04,Swiggy Delivery Ops,194C,1492.84,0.01
TXN_1060,PAY-IN-20260801-0057,179885.19,2026-08-01,Zomato Merchant Services,194-O,8994.26,0.05
TXN_1061,PAY-IN-20260801-0058,46609.78,2026-08-16,Blinkit Commerce Pvt Ltd,194-O,2330.49,0.05
TXN_1062,PAY-IN-20260801-0059,158344.06,2026-08-02,Flipkart Internet Pvt Ltd,194H,1583.44,0.01
TXN_1063,PAY-IN-20260801-0060,20344.86,2026-08-13,Razorpay Software Pvt Ltd,194H,203.45,0.01
TXN_1064,PAY-IN-20260801-0061,32816.68,2026-08-16,Flipkart Internet Pvt Ltd,194-O,328.17,0.01
TXN_1065,PAY-IN-20260801-0062,24521.11,2026-08-07,Swiggy Delivery Ops,194-O,245.21,0.01
